nod_id,peak_indices,peak_timestamps,start_time,end_time,duration,frequency
0,"[52, 87, 127]","[1.733, 2.9, 4.2330000000000005]",1.733,4.2330000000000005,2.5000000000000004,0.7894736842105263
1,"[385, 401, 417, 431]","[12.833, 13.367, 13.9, 14.367]",12.833,14.367,1.5340000000000007,1.9148936170212767
2,"[482, 519, 554, 576]","[16.067, 17.3, 18.467, 19.2]",16.067,19.2,3.132999999999999,0.9473684210526316
3,"[1010, 1026, 1040, 1054, 1070]","[33.667, 34.2, 34.667, 35.133, 35.667]",33.667,35.667,2.0,1.9672131147540985
4,"[1126, 1155, 1187]","[37.533, 38.5, 39.567]",37.533,39.567,2.033999999999999,0.9677419354838711
5,[1257],[41.9],41.9,41.9,0.0,
6,[1321],[44.033],44.033,44.033,0.0,
7,"[1605, 1622, 1642, 1665]","[53.5, 54.067, 54.733000000000004, 55.5]",53.5,55.5,2.0,1.4754098360655739
8,"[1711, 1746, 1781]","[57.033, 58.2, 59.367]",57.033,59.367,2.333999999999996,0.8450704225352113
9,"[1868, 1888, 1908, 1928]","[62.266999999999996, 62.933, 63.6, 64.267]",62.266999999999996,64.267,2.0,1.4754098360655739
10,"[2017, 2059]","[67.233, 68.633]",67.233,68.633,1.3999999999999915,0.6976744186046512
11,[2186],[72.867],72.867,72.867,0.0,
12,"[2466, 2479, 2493, 2507, 2521, 2535, 2548]","[82.2, 82.633, 83.1, 83.56700000000001, 84.03299999999999, 84.5, 84.93299999999999]",82.2,84.93299999999999,2.73299999999999,2.1686746987951806
13,"[2618, 2639, 2662, 2684]","[87.26700000000001, 87.96700000000001, 88.73299999999999, 89.46700000000001]",87.26700000000001,89.46700000000001,2.200000000000003,1.3432835820895523
14,"[2729, 2762, 2794]","[90.96700000000001, 92.06700000000001, 93.133]",90.96700000000001,93.133,2.1659999999999826,0.9090909090909091
